"","X_id","beachId","beachName","siteName","collectionDate","eColi","comments","geometry"
"94",94,2,"Sunnyside Beach","21W","2024-09-01",80,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"95",95,2,"Sunnyside Beach","19W","2024-09-01",400,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"96",96,2,"Sunnyside Beach","22W","2024-09-01",360,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"97",97,1,"Marie Curtis Park East Beach","29W","2024-08-31",50,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"98",98,1,"Marie Curtis Park East Beach","33W","2024-08-31",870,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"99",99,1,"Marie Curtis Park East Beach","32W","2024-08-31",1010,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"100",100,1,"Marie Curtis Park East Beach","31W","2024-08-31",250,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"101",101,1,"Marie Curtis Park East Beach","30W","2024-08-31",150,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"102",102,2,"Sunnyside Beach","23W","2024-08-31",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"103",103,2,"Sunnyside Beach","18W","2024-08-31",290,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"104",104,2,"Sunnyside Beach","17W","2024-08-31",350,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"105",105,2,"Sunnyside Beach","20W","2024-08-31",110,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"106",106,2,"Sunnyside Beach","21W","2024-08-31",400,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"107",107,2,"Sunnyside Beach","19W","2024-08-31",200,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"108",108,2,"Sunnyside Beach","22W","2024-08-31",330,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"109",109,1,"Marie Curtis Park East Beach","29W","2024-08-30",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"110",110,1,"Marie Curtis Park East Beach","33W","2024-08-30",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"111",111,1,"Marie Curtis Park East Beach","32W","2024-08-30",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"112",112,1,"Marie Curtis Park East Beach","31W","2024-08-30",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"113",113,1,"Marie Curtis Park East Beach","30W","2024-08-30",60,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"114",114,2,"Sunnyside Beach","23W","2024-08-30",NA,"No data","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"115",115,2,"Sunnyside Beach","18W","2024-08-30",70,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"116",116,2,"Sunnyside Beach","17W","2024-08-30",20,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"117",117,2,"Sunnyside Beach","20W","2024-08-30",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"118",118,2,"Sunnyside Beach","21W","2024-08-30",110,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"119",119,2,"Sunnyside Beach","19W","2024-08-30",20,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"120",120,2,"Sunnyside Beach","22W","2024-08-30",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"121",121,1,"Marie Curtis Park East Beach","29W","2024-08-29",50,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"122",122,1,"Marie Curtis Park East Beach","33W","2024-08-29",100,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"123",123,1,"Marie Curtis Park East Beach","32W","2024-08-29",110,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"124",124,1,"Marie Curtis Park East Beach","31W","2024-08-29",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"125",125,1,"Marie Curtis Park East Beach","30W","2024-08-29",100,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"126",126,2,"Sunnyside Beach","23W","2024-08-29",NA,"No data","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"127",127,2,"Sunnyside Beach","18W","2024-08-29",120,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"128",128,2,"Sunnyside Beach","17W","2024-08-29",60,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"129",129,2,"Sunnyside Beach","20W","2024-08-29",90,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"130",130,2,"Sunnyside Beach","21W","2024-08-29",290,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"131",131,2,"Sunnyside Beach","19W","2024-08-29",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"132",132,2,"Sunnyside Beach","22W","2024-08-29",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"133",133,1,"Marie Curtis Park East Beach","29W","2024-08-28",10,"<","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"134",134,1,"Marie Curtis Park East Beach","33W","2024-08-28",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"135",135,1,"Marie Curtis Park East Beach","32W","2024-08-28",50,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"136",136,1,"Marie Curtis Park East Beach","31W","2024-08-28",50,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"137",137,1,"Marie Curtis Park East Beach","30W","2024-08-28",10,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"138",138,2,"Sunnyside Beach","23W","2024-08-28",NA,"No data","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"139",139,2,"Sunnyside Beach","18W","2024-08-28",490,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"140",140,2,"Sunnyside Beach","17W","2024-08-28",600,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"141",141,2,"Sunnyside Beach","20W","2024-08-28",260,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"142",142,2,"Sunnyside Beach","21W","2024-08-28",320,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"143",143,2,"Sunnyside Beach","19W","2024-08-28",320,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"144",144,2,"Sunnyside Beach","22W","2024-08-28",280,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"145",145,1,"Marie Curtis Park East Beach","29W","2024-08-27",200,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"146",146,1,"Marie Curtis Park East Beach","33W","2024-08-27",100,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"147",147,1,"Marie Curtis Park East Beach","32W","2024-08-27",110,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"148",148,1,"Marie Curtis Park East Beach","31W","2024-08-27",200,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"149",149,1,"Marie Curtis Park East Beach","30W","2024-08-27",230,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"150",150,2,"Sunnyside Beach","23W","2024-08-27",NA,"No data","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"151",151,2,"Sunnyside Beach","18W","2024-08-27",870,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"152",152,2,"Sunnyside Beach","17W","2024-08-27",80,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"153",153,2,"Sunnyside Beach","20W","2024-08-27",10,"<","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"154",154,2,"Sunnyside Beach","21W","2024-08-27",150,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"155",155,2,"Sunnyside Beach","19W","2024-08-27",150,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"156",156,2,"Sunnyside Beach","22W","2024-08-27",440,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"157",157,1,"Marie Curtis Park East Beach","29W","2024-08-26",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"158",158,1,"Marie Curtis Park East Beach","33W","2024-08-26",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"159",159,1,"Marie Curtis Park East Beach","32W","2024-08-26",50,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"160",160,1,"Marie Curtis Park East Beach","31W","2024-08-26",20,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"161",161,1,"Marie Curtis Park East Beach","30W","2024-08-26",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"162",162,2,"Sunnyside Beach","23W","2024-08-26",NA,"No data","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"163",163,2,"Sunnyside Beach","18W","2024-08-26",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"164",164,2,"Sunnyside Beach","17W","2024-08-26",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"165",165,2,"Sunnyside Beach","20W","2024-08-26",20,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"166",166,2,"Sunnyside Beach","21W","2024-08-26",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"167",167,2,"Sunnyside Beach","19W","2024-08-26",10,"<","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"168",168,2,"Sunnyside Beach","22W","2024-08-26",10,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"169",169,1,"Marie Curtis Park East Beach","29W","2024-08-25",50,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"170",170,1,"Marie Curtis Park East Beach","33W","2024-08-25",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"171",171,1,"Marie Curtis Park East Beach","32W","2024-08-25",60,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"172",172,1,"Marie Curtis Park East Beach","31W","2024-08-25",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"173",173,1,"Marie Curtis Park East Beach","30W","2024-08-25",20,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"174",174,2,"Sunnyside Beach","23W","2024-08-25",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"175",175,2,"Sunnyside Beach","18W","2024-08-25",10,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"176",176,2,"Sunnyside Beach","17W","2024-08-25",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"177",177,2,"Sunnyside Beach","20W","2024-08-25",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"178",178,2,"Sunnyside Beach","21W","2024-08-25",20,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"179",179,2,"Sunnyside Beach","19W","2024-08-25",50,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"180",180,2,"Sunnyside Beach","22W","2024-08-25",80,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"181",181,1,"Marie Curtis Park East Beach","29W","2024-08-24",200,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"182",182,1,"Marie Curtis Park East Beach","33W","2024-08-24",130,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"183",183,1,"Marie Curtis Park East Beach","32W","2024-08-24",100,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"184",184,1,"Marie Curtis Park East Beach","31W","2024-08-24",140,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"185",185,1,"Marie Curtis Park East Beach","30W","2024-08-24",140,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"186",186,2,"Sunnyside Beach","23W","2024-08-24",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"187",187,2,"Sunnyside Beach","18W","2024-08-24",80,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"188",188,2,"Sunnyside Beach","17W","2024-08-24",60,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"189",189,2,"Sunnyside Beach","20W","2024-08-24",400,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"190",190,2,"Sunnyside Beach","21W","2024-08-24",210,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
